ID,Requirement,Date
NN-002," The minimum value of the NN output, z, shall always be greater than or equal to -0.2, regardless of the input values",2023-08-11
AP-008, ,2023-08-11
AP-006, ,2023-08-11
FSM-013, The sensor shall change states from TRANSITION to NOMINAL when the autopilot is requesting support (request) and the autopilot reports the correct active mode (mode),2023-08-11
SWIM-001a," The SWIM Airspeed algorithm shall output the minimum AGCAS airspeed required to perform a 2g flyup as follows:

Auto GCAS Minimum Vcas (knots) = 
SQRT{[2*Load Factor*Gross Weight]/[Air Density at sea level * 
		Coefficient of Lift Max*Wing Area]} / 1.6891 (ft/s/knots)
where
	Load Factor = 2 gs
	Gross weight of the aircraft
	Air Density at sea level = 0.0023769 slugs/ft^3
	Coefficient of Lift Max = 1.24 (CAT I) and 1.10 (CAT III)
	Wing Area of the F-16 = 300 ft^2
Thus,
IF CAT I, Auto GCAS Minimum Vcas (knots)  = 1.25921 * SQRT(Gross Weight)  + 10.0
IF CAT III, Auto GCAS Minimum Vcas (knots)  = 1.33694 * SQRT(Gross Weight) + 10.0",2023-08-11
NLG-006, ,2023-08-11
FSM-007, The autopilot shall change states from PULLUP to TRANSITION when the system is supported and sensor data is good,2023-08-11
NLG-004, ,2023-08-11
AP-007, ,2023-08-11
FSM-004, ,2023-08-11
FSM-007v2, ,2023-08-11
TSM-002, ,2023-08-11
SWIM-001b, ,2023-08-11
REG-010, The Inner Loop Height Regulator Shall not command transient changes in translational height acceleration greater than 32 ft/sec2/sec.,2023-08-11
EUL-001G, ,2023-08-11
NN-001," The maximum value of NN output, z, shall always be less than or equal to 1.1, regardless of the input values",2023-08-11
FSM-011v2, ,2023-08-11
REG-002, The Inner Loop Pitch Regulator shall not command angular pitch accelerations greater than the capability of the system (50 deg/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2023-08-11
NLG-007, ,2023-08-11
FSM-001v1, Exceeding sensor limits shall latch an autopilot pullup when the pilot is not in control (not standby) and the system is supported without failures (not apfail).,2023-08-11
AP-008A, ,2023-08-11
EUL-001E, ,2023-08-11
EUL-002, ,2023-08-11
TSM-003a," In the single fail state, a good channel average of the remaining two good branches shall be used to determine the selected value (1)",2023-08-11
REG-003, The Inner Loop Yaw Regulator Shall not command angular yaw accelerations greater than the capability of the system (50 deg/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2023-08-11
EUL-002B, ,2023-08-11
AP-008B, ,2023-08-11
AP-003C, The roll hold reference shall be set to 30 degrees in the same direction as the actual roll angle if the actual roll angle is greater than 30 degrees at the time of roll hold engagement.,2023-08-11
EUL-001B, ,2023-08-11
EUL-001H, ,2023-08-11
FSM-006, The autopilot shall change states from MANEUVER to STANDBY when the pilot is in control (standby) and sensor data is good,2023-08-11
AP-003B, ,2023-08-11
XX-0023, werwe,2023-08-11
